gene,edge,net
"NA",2908,ko01100
K01061,2909,ko01100
K01856,2758,ko01100
K03381,1949,ko01100
K05783,1950,ko01100
K05549,1896,ko01100
K05783,1951,ko01100
K05549,1952,ko01100
K05549,4636,ko01100
"NA",180,ko01100
K01497,5353,ko01100
K01498,5388,ko01100
K00082,5389,ko01100
K22912,5390,ko01100
K00793,5391,ko01100
K00861,5392,ko01100
K00953,5393,ko01100
"NA",2911,ko01100
K05275,2912,ko01100
K00275,2913,ko01100
K00868,2914,ko01100
K00275,2915,ko01100
K00275,2916,ko01100
K00868,2917,ko01100
K00157,2918,ko01100
K00278,916,ko01100
K03517,917,ko01100
K00767,2575,ko01100
K06210,2576,ko01100
K01916,2577,ko01100
K18153,2578,ko01100
K01440,2579,ko01100
K00763,2580,ko01100
K00322,2581,ko01100
K00541,2582,ko01100
K00157,2583,ko01100
K00606,2919,ko01100
K00077,2920,ko01100
K00867,2921,ko01100
K01922,2922,ko01100
K01598,2924,ko01100
K00954,2946,ko01100
K02318,2923,ko01100
K01435,1993,ko01100
K01012,1990,ko01100
K01935,1991,ko01100
K00833,2925,ko01100
K00652,1992,ko01100
K01906,2926,ko01100
K01942,2927,ko01100
K01942,2928,ko01100
K23756,1655,ko01100
K23763,1656,ko01100
K00200,4339,ko01100
K00672,4341,ko01100
K01499,4342,ko01100
K00319,4343,ko01100
K00320,4337,ko01100
K00440,4336,ko01100
K00401,4333,ko01100
K01495,5352,ko01100
K01495,5394,ko01100
K01495,5395,ko01100
K01495,5396,ko01100
K01077,5397,ko01100
K13939,5398,ko01100
K13939,5399,ko01100
K01930,5400,ko01100
K00287,5401,ko01100
